what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1480075882113
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.0.0.r36x201106081558,"org.eclipse.wb.rcp.SWT_AWT",1480075882114
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.0.0.r36x201106091049,"org.eclipse.wb.rcp.databinding.emf",1480075882116
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.0.0.r36x201106081641,"org.eclipse.wb.rcp.databinding.xwt",1480075882117
stopped,bundle,org.eclipse.wb.rcp.databinding,1.0.0.r36x201106091049,"org.eclipse.wb.rcp.databinding",1480075882119
stopped,bundle,org.eclipse.wb.rcp.nebula,1.0.0.r36x201106091049,"org.eclipse.wb.rcp.nebula",1480075882121
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.0.0.r36x201106091049,"org.eclipse.wb.rcp.swing2swt",1480075882123
stopped,bundle,org.eclipse.wb.xwt,1.0.0.r36x201106081641,"org.eclipse.wb.xwt",1480075882125
stopped,bundle,org.eclipse.wb.rcp,1.0.0.r36x201106091049,"org.eclipse.wb.rcp",1480075882127
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1480075882128
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1480075882129
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1480075882131
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1480075882133
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1480075882135
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1480075882136
stopped,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1480075882137
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1480075882139
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1480075882139
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1480075882139
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1480075882141
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.3.2.v201102072310,"org.eclipse.jpt.eclipselink.core",1480075882143
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1480075882145
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1480075882146
stopped,bundle,org.eclipse.jpt.core,2.3.3.v201102172310,"org.eclipse.jpt.core",1480075882149
stopped,bundle,org.eclipse.jpt.db,1.2.202.v201010192330,"org.eclipse.jpt.db",1480075882150
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201004070709,"org.eclipse.datatools.enablement.jdt.classpath",1480075882151
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1480075882152
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1480075882155
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1480075882156
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1480075882157
